i," ""f"""," ""dt"""," ""pos""",abs(dt)
0,51912,51912,101100101011001000000000.00,51912
51912,51912,0,101100101011001000000000.00,0
51912,51912,0,101100101011001000000000.00,0
51912,51912,0,101100101011001000000000.00,0
51912,51912,0,101100101011001000000000.00,0
51912,51912,0,101100101011001000000000.00,0
51912,51912,0,101100101011001000000000.00,0
51912,51912,0,101100101011001000000000.00,0
51912,51912,0,101100101011001000000000.00,0
51912,51912,0,101100101011001000000000.00,0
51912,51912,0,101100101011001000000000.00,0
51912,51912,0,101100101011001000000000.00,0
51912,51912,0,101100101011001000000000.00,0
51912,51912,0,101100101011001000000000.00,0
51912,51912,0,101100101011001000000000.00,0
51912,51912,0,101100101011001000000000.00,0
51912,51912,0,101100101011001000000000.00,0
51912,51912,0,101100101011001000000000.00,0
51912,54998,3086,101101011011010000000000.00,3086
54998,64249,9251,101111111011111000000000.00,9251
64249,98174,33925,110111111101111000000000.00,33925
98174,110510,12336,111010111110101000000000.00,12336
110510,109482,-1028,111010101110101000000000.00,1028
109482,109481,-1,111010101110101000000000.00,1
109481,109482,1,111010101110101000000000.00,1
109482,109480,-2,111010101110101000000000.00,2
109480,109480,0,111010101110101000000000.00,0
109480,111537,2057,111011001110110000000000.00,2057
111537,124901,13364,111110011111100000000000.00,13364
124901,37522,43692,101001011010010000000000.00,43692
37522,42660,5138,101010101010101000000000.00,5138
42660,43691,1031,101010101010101000000000.00,1031
43691,43688,-3,101010101010101000000000.00,3
43688,43688,0,101010101010101000000000.00,0
43688,64248,20560,110000001100000000000000.00,20560
64248,104341,40093,111001011110010000000000.00,40093
104341,106399,2058,111001111110011000000000.00,2058
106399,106396,-3,111001111110011000000000.00,3
106396,107424,1028,111010001110100000000000.00,1028
107424,8736,32383,100010101000101000000000.00,32383
8736,64251,55515,101111101011111000000000.00,55515
64251,63221,-1030,101111011011110000000000.00,1030
63221,63222,1,101111011011110000000000.00,1
63222,69389,6167,110001001100010000000000.00,6167
69389,3596,65278,100001001000010000000000.00,65278
3596,12850,9254,100011001000110000000000.00,9254
12850,12851,1,100011001000110000000000.00,1
12851,20047,7196,100101001001010000000000.00,7196
20047,83782,63735,110100101101001000000000.00,63735
83782,98172,14390,110111111101111000000000.00,14390
98172,98173,1,110111111101111000000000.00,1
98173,106396,8223,111001111110011000000000.00,8223
106396,29299,53974,100111011001110000000000.00,53974
29299,52940,23641,101100111011001000000000.00,23641
52940,52943,3,101100111011001000000000.00,3
52943,64251,11308,101111111011111000000000.00,11308
64251,115648,51397,111100011111000000000000.00,51397
115648,125930,10282,111110101111101000000000.00,10282
125930,125930,0,111110101111101000000000.00,0
125930,514,5655,100000011000000000000000.00,5655
514,29298,28784,100111101001111000000000.00,28784
29298,61167,31869,101110111011101000000000.00,31869
61167,62195,1028,101111001011110000000000.00,1028
62195,62194,-1,101111001011110000000000.00,1
62194,62193,-1,101111001011110000000000.00,1
62193,64249,2056,101111101011111000000000.00,2056
64249,106398,42149,111010011110100000000000.00,42149
106398,116677,10279,111100011111000000000000.00,10279
116677,116676,-1,111100011111000000000000.00,1
116676,116676,0,111100011111000000000000.00,0
116676,116677,1,111100011111000000000000.00,1
116677,107427,-9250,111010001110100000000000.00,9250
107427,67335,-40092,110000001100000000000000.00,40092
67335,39577,-27758,101001011010010000000000.00,27758
39577,30326,-9251,100111011001110000000000.00,9251
30326,30325,-1,100111011001110000000000.00,1
30325,28268,-2057,100110111001101000000000.00,2057
28268,27243,-1025,100110101001101000000000.00,1025
27243,115649,42665,111011111110111000000000.00,42665
115649,83781,-31868,110100011101000000000000.00,31868
83781,83783,2,110100011101000000000000.00,2
83783,83780,-3,110100011101000000000000.00,3
83780,66307,-17473,101111111011111000000000.00,17473
66307,26214,-40093,100110011001100000000000.00,40093
26214,17988,-8226,100100011001000000000000.00,8226
17988,17991,3,100100011001000000000000.00,3
17991,16963,-1028,100100001001000000000000.00,1028
16963,119760,28274,111100111111001000000000.00,28274
119760,78640,-41120,110011001100110000000000.00,41120
78640,73503,-5137,110001111100011000000000.00,5137
73503,73500,-3,110001111100011000000000.00,3
73500,69388,-4112,110000101100001000000000.00,4112
69388,13879,-55509,100011001000110000000000.00,55509
13879,115648,29302,111100001111000000000000.00,29302
115648,117707,2059,111100101111001000000000.00,2059
117707,117705,-2,111100101111001000000000.00,2
117705,78640,-39065,110010111100101000000000.00,39065
78640,30326,-48314,100111011001110000000000.00,48314
30326,32382,2056,100111111001111000000000.00,2056
32382,32382,0,100111111001111000000000.00,0
32382,30324,-2058,100111011001110000000000.00,2058
30324,14907,-15417,100011101000111000000000.00,15417
14907,101258,44720,111000011110000000000000.00,44720
101258,89951,-11307,110101111101011000000000.00,11307
89951,89951,0,110101111101011000000000.00,0
89951,89951,0,110101111101011000000000.00,0
89951,89950,-1,110101111101011000000000.00,1
89950,89950,0,110101111101011000000000.00,0
