i,f,dt,pos,abs(dt)
98172,98172,0,1.10111E+23,0
98172,98172,0,1.10111E+23,0
98172,98172,0,1.10111E+23,0
98172,98172,0,1.10111E+23,0
98172,98172,0,1.10111E+23,0
98172,98172,0,1.10111E+23,0
98172,98172,0,1.10111E+23,0
98172,98172,0,1.10111E+23,0
98172,98172,0,1.10111E+23,0
98172,98172,0,1.10111E+23,0
98172,98172,0,1.10111E+23,0
98172,98172,0,1.10111E+23,0
98172,98172,0,1.10111E+23,0
98172,98172,0,1.10111E+23,0
98172,98172,0,1.10111E+23,0
98172,98172,0,1.10111E+23,0
98172,98172,0,1.10111E+23,0
98172,98172,0,1.10111E+23,0
98172,98172,0,1.10111E+23,0
98172,98172,0,1.10111E+23,0
98172,98172,0,1.10111E+23,0
98172,98172,0,1.10111E+23,0
98172,98173,1,1.10111E+23,1
98173,98173,0,1.10111E+23,0
98173,98172,-1,1.10111E+23,1
98172,83783,-14389,1.101E+23,14389
83783,37520,-46263,1.01E+23,46263
37520,30326,-7194,1.00111E+23,7194
30326,30325,-1,1.00111E+23,1
30325,29298,-1027,1.0011E+23,1027
29298,118735,41634,1.111E+23,41634
118735,85839,-32896,1.101E+23,32896
85839,85837,-2,1.101E+23,2
85837,84808,-1029,1.101E+23,1029
84808,36492,-48316,1.01E+23,48316
36492,3599,-32893,1E+23,32893
3599,3596,-3,1E+23,3
3596,3599,3,1E+23,3
3599,92005,42665,1.1011E+23,42665
92005,53968,-38037,1.01101E+23,38037
53968,53969,1,1.01101E+23,1
53969,53971,2,1.01101E+23,2
53971,37521,-16450,1.01E+23,16450
37521,126958,41634,1.1111E+23,41634
126958,104343,-22615,1.11001E+23,22615
104343,105368,1025,1.11001E+23,1025
105368,105370,2,1.11001E+23,2
105370,96119,-9251,1.10111E+23,9251
96119,34438,-61681,1.00111E+23,61681
34438,14906,-19532,1.00011E+23,19532
14906,14904,-2,1.00011E+23,2
14904,14907,3,1.00011E+23,3
14907,113594,32384,1.11011E+23,32384
113594,75556,-38038,1.1001E+23,38038
75556,73500,-2056,1.10001E+23,2056
73500,73502,2,1.10001E+23,2
