i, f, dt, pos
98172,98172,0.00,110111111101111100000001
98172,98172,0.00,110111111101111100000001
98172,98172,0.00,110111111101111100000001
98172,98172,0.00,110111111101111100000001
98172,98172,0.00,110111111101111100000001
98172,98172,0.00,110111111101111100000001
98172,98172,0.00,110111111101111100000001
98172,98172,0.00,110111111101111100000001
98172,98172,0.00,110111111101111100000001
98172,98172,0.00,110111111101111100000001
98172,98172,0.00,110111111101111100000001
98172,98172,0.00,110111111101111100000001
98172,98172,0.00,110111111101111100000001
98172,98172,0.00,110111111101111100000001
98172,98172,0.00,110111111101111100000001
98172,98172,0.00,110111111101111100000001
98172,98172,0.00,110111111101111100000001
98172,98172,0.00,110111111101111100000001
98172,98172,0.00,110111111101111100000001
98172,98172,0.00,110111111101111100000001
98172,98172,0.00,110111111101111100000001
98172,98172,0.00,110111111101111100000001
98172,98173,1.00,110111111101111110000001
98173,98173,0.00,110111111101111101000001
98173,98172,-1.00,110111111101111110000001
98172,83783,-14389.00,110100001101000011000001
83783,37520,-46263.00,101000111010001110000001
37520,30326,-7194.00,100111011001110110000001
30326,30325,-1.00,100111011001110101000001
30325,29298,-1027.00,100110111001101101000001
29298,118735,41634.00,111100101111001001000001
118735,85839,-32896.00,110100111101001100000001
85839,85837,-2.00,110100111101001101000001
85837,84808,-1029.00,110100101101001001000001
84808,36492,-48316.00,101000101010001010000001
36492,3599,-32893.00,100000111000001101000001
3599,3596,-3.00,100000111000001101000001
3596,3599,3.00,100000111000001101000001
3599,92005,42665.00,110110001101100010000001
92005,53968,-38037.00,101101001011010001000001
53968,53969,1.00,101101001011010001000001
53969,53971,2.00,101101001011010011000001
53971,37521,-16450.00,101000111010001110000001
37521,126958,41634.00,111110101111101010000001
126958,104343,-22615.00,111001011110010110000001
104343,105368,1025.00,111001101110011000000001
105368,105370,2.00,111001101110011011000001
105370,96119,-9251.00,110111001101110001000001
96119,34438,-61681.00,100111111001111110000001
34438,14906,-19532.00,100011101000111010000001
14906,14904,-2.00,100011101000111000000001
14904,14907,3.00,100011101000111001000001
14907,113594,32384.00,111011011110110110000001
113594,75556,-38038.00,110010001100100010000001
75556,73500,-2056.00,110001111100011100000001
73500,73502,2.00,110001111100011110000001
73502,56027,-17475.00,101101001011010001000001
56027,7708,-48319.00,100001111000011100000001
7708,127985,10794.00,111111001111110010000001
127985,127985,0.00,111111001111110010000001
127985,109482,-18503.00,111010011110100111000001
109482,67333,-42149.00,110000011100000110000001
67333,61165,-6168.00,101110111011101101000001
61165,61164,-1.00,101110111011101101000001
61164,52942,-8222.00,101100101011001011000001
52942,125928,58085.00,111110011111100100000001
125928,116678,-9250.00,111100011111000101000001
116678,116679,1.00,111100011111000111000001
116679,109481,-7198.00,111010011110100110000001
109481,65276,-44205.00,101111101011111010000001
65276,47803,-17473.00,101011101010111000000001
47803,47801,-2.00,101011101010111001000001
47801,43689,-4112.00,101010101010101001000001
43689,6681,-37008.00,100001101000011011000001
6681,109483,28269.00,111010101110101011000001
109483,109483,0.00,111010101110101011000001
109483,109480,-3.00,111010101110101011000001
109480,86865,-22615.00,110100101101001000000001
86865,34439,-52426.00,101000001010000001000001
34439,32380,-2059.00,100111111001111100000001
32380,32383,3.00,100111111001111111000001
32383,27241,-5142.00,100110101001101001000001
27241,119762,38550.00,111100111111001110000001
119762,114622,-5140.00,111011111110111100000001
114622,114622,0.00,111011111110111110000001
114622,113592,-1030.00,111011101110111010000001
113592,75556,-38036.00,110010011100100101000001
75556,53968,-21588.00,101101001011010000000001
53968,53971,3.00,101101001011010011000001
53971,53971,0.00,101101001011010011000001
53971,53971,0.00,101101001011010001000001
53971,53968,-3.00,101101001011010000000001
53968,53969,1.00,101101001011010001000001
53969,53969,0.00,101101001011010001000001
53969,53970,1.00,101101001011010010000001
53970,53968,-2.00,101101001011010000000001
53968,53970,2.00,101101001011010010000001
53970,53969,-1.00,101101001011010001000001
53969,53970,1.00,101101001011010010000001
53970,53971,1.00,101101001011010011000001
53971,53971,0.00,101101001011010011000001
53971,53971,0.00,101101001011010011000001
53971,53971,0.00,101101001011010011000001
53971,53971,0.00,101101001011010011000001
53971,53971,0.00,101101001011010011000001
53971,53971,0.00,101101001011010011000001
53971,53971,0.00,101101001011010011000001
53971,53970,-1.00,101101001011010010000001
53970,53969,-1.00,101101001011010001000001
53969,53971,2.00,101101001011010011000001
53971,53971,0.00,101101001011010011000001
53971,53969,-2.00,101101001011010000000001
53969,58080,4111.00,101110001011100001000001
58080,73500,15420.00,110010001100100011000001
73500,109482,35982.00,111010101110101010000001
109482,131071,21589.00,111111111111111111000001
131071,12850,12850.00,100010111000101100000001
12850,11823,-1027.00,100010111000101111000001
11823,11823,0.00,100010111000101111000001
11823,11823,0.00,100010111000101100000001
11823,11820,-3.00,100010111000101100000001
11820,11821,1.00,100010111000101101000001
11821,26214,14393.00,100110101001101000000001
26214,72475,46261.00,110010001100100011000001
72475,95089,22614.00,110111001101110010000001
95089,95088,-1.00,110111001101110000000001
95088,95089,1.00,110111001101110010000001
95089,110511,15422.00,111011001110110010000001
110511,30324,50884.00,100111101001111011000001
30324,64248,33924.00,101111101011111010000001
64248,64248,0.00,101111101011111000000001
64248,64250,2.00,101111101011111010000001
64250,75556,11306.00,110010101100101010000001
75556,118733,43177.00,111101001111010010000001
118733,19019,31357.00,100100101001001001000001
19019,17990,-1029.00,100100011001000110000001
17990,17988,-2.00,100100011001000100000001
17988,45744,27756.00,101011011010110111000001
45744,86866,41122.00,110101001101010011000001
86866,98173,11307.00,110111111101111100000001
98173,98172,-1.00,110111111101111100000001
98172,99200,1028.00,111000001110000010000001
99200,126956,27756.00,111110111111101110000001
126956,39579,43694.00,101001111010011110000001
39579,49856,10277.00,101100001011000000000001
49856,49856,0.00,101100001011000000000001
