i, f, dt, pos,abs(dt),1,2,3,4
0,105369,25702,1.11001E+23,25702,105369,105369,236440,25702
105369,105369,0,1.11001E+23,0,0,0,131071,131071
105369,105369,0,1.11001E+23,0,0,0,131071,131071
105369,105369,0,1.11001E+23,0,0,0,131071,131071
105369,105369,0,1.11001E+23,0,0,0,131071,131071
105369,105369,0,1.11001E+23,0,0,0,131071,131071
105369,105369,0,1.11001E+23,0,0,0,131071,131071
105369,105369,0,1.11001E+23,0,0,0,131071,131071
105369,105369,0,1.11001E+23,0,0,0,131071,131071
105369,105369,0,1.11001E+23,0,0,0,131071,131071
105369,105369,0,1.11001E+23,0,0,0,131071,131071
105369,105369,0,1.11001E+23,0,0,0,131071,131071
105369,105369,0,1.11001E+23,0,0,0,131071,131071
105369,105369,0,1.11001E+23,0,0,0,131071,131071
105369,105369,0,1.11001E+23,0,0,0,131071,131071
105369,105369,0,1.11001E+23,0,0,0,131071,131071
105369,105369,0,1.11001E+23,0,0,0,131071,131071
105369,105369,0,1.11001E+23,0,0,0,131071,131071
105369,105369,0,1.11001E+23,0,0,0,131071,131071
105369,105369,0,1.11001E+23,0,0,0,131071,131071
105369,105369,0,1.11001E+23,0,0,0,131071,131071
105369,105369,0,1.11001E+23,0,0,0,131071,131071
105369,105369,0,1.11001E+23,0,0,0,131071,131071
105369,105369,0,1.11001E+23,0,0,0,131071,131071
105369,105369,0,1.11001E+23,0,0,0,131071,131071
105369,105369,0,1.11001E+23,0,0,0,131071,131071
105369,105369,0,1.11001E+23,0,0,0,131071,131071
105369,105369,0,1.11001E+23,0,0,0,131071,131071
105369,105369,0,1.11001E+23,0,0,0,131071,131071
105369,105369,0,1.11001E+23,0,0,0,131071,131071
105369,105369,0,1.11001E+23,0,0,0,131071,131071
105369,105369,0,1.11001E+23,0,0,0,131071,131071
105369,105369,0,1.11001E+23,0,0,0,131071,131071
105369,105369,0,1.11001E+23,0,0,0,131071,131071
105369,105369,0,1.11001E+23,0,0,0,131071,131071
105369,105369,0,1.11001E+23,0,0,0,131071,131071
105369,105369,0,1.11001E+23,0,0,0,131071,131071
105369,105369,0,1.11001E+23,0,0,0,131071,131071
105369,105369,0,1.11001E+23,0,0,0,131071,131071
105369,105369,0,1.11001E+23,0,0,0,131071,131071
105369,105369,0,1.11001E+23,0,0,0,131071,131071
105369,105369,0,1.11001E+23,0,0,0,131071,131071
105369,105369,0,1.11001E+23,0,0,0,131071,131071
105369,105369,0,1.11001E+23,0,0,0,131071,131071
105369,105369,0,1.11001E+23,0,0,0,131071,131071
105369,105369,0,1.11001E+23,0,0,0,131071,131071
105369,105369,0,1.11001E+23,0,0,0,131071,131071
105369,105369,0,1.11001E+23,0,0,0,131071,131071
105369,105369,0,1.11001E+23,0,0,0,131071,131071
105369,105369,0,1.11001E+23,0,0,0,131071,131071
105369,105369,0,1.11001E+23,0,0,0,131071,131071
105369,105369,0,1.11001E+23,0,0,0,131071,131071
