i,f,dt,pos,abs(dt),1,2,3,4
10792,10792,0,1.0001E+23,0,0,0,131071,131071
10792,10792,0,1.0001E+23,0,0,0,131071,131071
10792,10792,0,1.0001E+23,0,0,0,131071,131071
10792,10792,0,1.0001E+23,0,0,0,131071,131071
10792,10792,0,1.0001E+23,0,0,0,131071,131071
10792,10792,0,1.0001E+23,0,0,0,131071,131071
10792,10792,0,1.0001E+23,0,0,0,131071,131071
10792,10792,0,1.0001E+23,0,0,0,131071,131071
10792,10792,0,1.0001E+23,0,0,0,131071,131071
10792,10792,0,1.0001E+23,0,0,0,131071,131071
10792,10792,0,1.0001E+23,0,0,0,131071,131071
10792,10792,0,1.0001E+23,0,0,0,131071,131071
10792,10792,0,1.0001E+23,0,0,0,131071,131071
10792,10792,0,1.0001E+23,0,0,0,131071,131071
10792,11823,1031,1.0001E+23,1031,1031,1031,132102,130040
11823,10792,-1031,1.0001E+23,1031,-1031,-1031,130040,132102
10792,10795,3,1.0001E+23,3,3,3,131074,131068
10795,10792,-3,1.0001E+23,3,-3,-3,131068,131074
10792,10794,2,1.0001E+23,2,2,2,131073,131069
10794,10793,-1,1.0001E+23,1,-1,-1,131070,131072
10793,9765,-1028,1.0001E+23,1028,-1028,-1028,130043,132099
9765,130042,-10794,1.11111E+23,10794,120277,120277,251348,10794
130042,101258,-28784,1.11E+23,28784,-28784,-28784,102287,159855
101258,74528,-26730,1.1001E+23,26730,-26730,-26730,104341,157801
74528,69388,-5140,1.1E+23,5140,-5140,-5140,125931,136211
69388,69391,3,1.1E+23,3,3,3,131074,131068
69391,69388,-3,1.1E+23,3,-3,-3,131068,131074
69388,68360,-1028,1.1E+23,1028,-1028,-1028,130043,132099
68360,38550,-29810,1.01001E+23,29810,-29810,-29810,101261,160881
38550,21073,-17477,1.00101E+23,17477,-17477,-17477,113594,148548
21073,127985,-24159,1.11111E+23,24159,106912,106912,237983,24159
127985,127984,-1,1.11111E+23,1,-1,-1,131070,131072
127984,125931,-2053,1.1111E+23,2053,-2053,-2053,129018,133124
125931,84809,-41122,1.101E+23,41122,-41122,-41122,89949,172193
84809,37523,-47286,1.01001E+23,47286,-47286,-47286,83785,178357
37523,39577,2054,1.01001E+23,2054,2054,2054,133125,129017
39577,39578,1,1.01001E+23,1,1,1,131072,131070
39578,36495,-3083,1.01E+23,3083,-3083,-3083,127988,134154
36495,112564,-55002,1.11011E+23,55002,76069,76069,207140,55002
112564,102285,-10279,1.11E+23,10279,-10279,-10279,120792,141350
102285,102286,1,1.11E+23,1,1,1,131072,131070
102286,102284,-2,1.11E+23,2,-2,-2,131069,131073
102284,78643,-23641,1.1001E+23,23641,-23641,-23641,107430,154712
78643,27243,-51400,1.0011E+23,51400,-51400,-51400,79671,182471
27243,29296,2053,1.00111E+23,2053,2053,2053,133124,129018
29296,29296,0,1.00111E+23,0,0,0,131071,131071
29296,28269,-1027,1.0011E+23,1027,-1027,-1027,130044,132098
28269,6683,-21586,1.00001E+23,21586,-21586,-21586,109485,152657
6683,98173,-39581,1.11E+23,39581,91490,91490,222561,39581
98173,99201,1028,1.11E+23,1028,1028,1028,132099,130043
99201,99201,0,1.11E+23,0,0,0,131071,131071
99201,96118,-3083,1.10111E+23,3083,-3083,-3083,127988,134154
96118,47803,-48315,1.01011E+23,48315,-48315,-48315,82756,179386
47803,36492,-11311,1.01E+23,11311,-11311,-11311,119760,142382
36492,36495,3,1.01E+23,3,3,3,131074,131068
36495,36494,-1,1.01E+23,1,-1,-1,131070,131072
36494,10794,-25700,1.0001E+23,25700,-25700,-25700,105371,156771
10794,92004,-49861,1.1011E+23,49861,81210,81210,212281,49861
92004,92005,1,1.1011E+23,1,1,1,131072,131070
92005,92005,0,1.1011E+23,0,0,0,131071,131071
92005,88921,-3084,1.10101E+23,3084,-3084,-3084,127987,134155
88921,38549,-50372,1.01001E+23,50372,-50372,-50372,80699,181443
38549,36495,-2054,1.01E+23,2054,-2054,-2054,129017,133125
36495,36494,-1,1.01E+23,1,-1,-1,131070,131072
