starting
Enc:FUEL
-0.22,111000111110001111000001
0.00,111000111110001111000001
0.00,111000111110001111000001
0.00,111000111110001111000001
0.00,111000111110001111000001
0.00,111000111110001111000001
0.00,111000111110001111000001
0.00,111000111110001111000001
0.00,111000111110001111000001
0.00,111000111110001111000001
0.00,111000111110001111000001
0.00,111000111110001111000001
0.00,111000111110001111000001
0.00,111000111110001111000001
0.00,111000111110001111000001
0.00,111000111110001111000001
0.00,111000111110001111000001
0.00,111000111110001111000001
STOPPED. PRESS BOTH BUTTONS TO CONFIRM HOME POSITION
Switch
0.00,111111111111111111111111
0.00,111111111111111111111111
STOPPED. PRESS BOTH BUTTONS TO CONFIRM HOME POSITION
Set SEL_SWITCH to ON and press both buttons to arm valves
idle
idle
10101010
111100010100001
activated
pTerm: 0 FUEL: ;  dT: 0;  Pos:-0.22;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:-0.22;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:-0.22;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:-0.22;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:-0.22;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:-0.22;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:-0.22;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:-0.22;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:-0.21;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:-0.20;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:-0.19;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:-0.16;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:-0.13;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:-0.09;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:-0.05;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:0.00;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:0.06;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:0.13;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:0.20;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:0.28;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:0.36;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:0.46;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:0.56;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:0.67;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:0.79;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:0.91;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:1.04;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:1.18;  Target: 3.50
pTerm: 0 FUEL: ;  dT: 0;  Pos:1.32;  Target: 3.50
